,Portfolio,cumulative_returns,cagr,vol,mdd,sharpe_ratio
259,"SPY, GLD, SHY, EWJ, EFA, Cash",29.347510802702924,8.939348682852867,15.6308725067393,-29.72440174443891,0.5719033712928461
260,"HYG, IWM, LQD, SCZ, VEA, Cash",18.745055337163574,5.8830638269945945,15.694324521197355,-25.839269049864722,0.3748529488509495
261,"EFA, IVE, GSG, IWM, IVE, Cash",-6.314931031045501,-2.1470303869699947,15.372870957886414,-34.97041625366306,-0.13966359262702
262,"TLT, BND, IVE, IEF, VEU, Cash",15.785503652911004,5.002273745431984,14.93319686921692,-20.420056505416728,0.33497674940210564
263,"GLD, SCZ, VEA, GSG, DBC, Cash",28.960366031776562,8.830751008708692,13.692354813803082,-14.368988557439778,0.644940269865526
264,"SCZ, GLD, EFA, IVE, EWH, Cash",24.500363011881056,7.563692465041472,14.25401052598065,-21.047364204351005,0.5306360936983455
265,"EFA, EWY, TIP, IEF, GLD, Cash",-4.981745992342013,-1.6858937110691419,13.07736651780315,-17.157819111879547,-0.1289169121913051
266,"TIP, AGG, SHY, IVE, SHY, Cash",28.916730523240155,8.818497211696986,9.301565117903317,-7.220600797230037,0.9480659544836664
267,"SHY, BIL, IEF, GLD, GSG, Cash",29.666989454090675,9.037401640893105,17.290843299063642,-18.752227621576324,0.5226698018472304
268,"QQQ, BIL, VEU, BIL, BND, Cash",-0.9873929795799152,-0.3296191979422991,18.677342945333685,-28.659099670318678,-0.017648077615057694
269,"VGK, EEM, DBC, VEU, QQQ, Cash",15.675511785245245,4.96904415137327,14.161993798354736,-26.894843719095164,0.3508717926391513
270,"VNQ, GSG, IVE, VTI, DBC, Cash",19.063096483093055,5.9773380215685235,22.034311247967906,-38.67212563060265,0.2712741031158747
271,"VEA, IVE, EFA, TLT, BND, Cash",39.16845143679664,11.922945675056873,18.769343123415855,-29.418409863071414,0.6352351063464923
272,"LQD, IEF, QQQ, IWN, IVE, Cash",11.021540223133929,3.539998549060308,10.364180965633032,-12.801481351675225,0.3415608585761595
273,"VTI, BIL, SHY, TLT, VNQ, Cash",4.95251578484337,1.6213266041089192,14.394083114064117,-22.179179351961842,0.11263840782778026
274,"AGG, EEM, VWO, EWY, QQQ, Cash",27.830835605002434,8.512658824167008,14.673018869641757,-18.38332198453839,0.5801572873173061
275,"VEA, LQD, EEM, QQQ, EWH, Cash",30.864524279766382,9.371738091197468,12.103642052740224,-13.298282368298686,0.7742907506981123
276,"LQD, EWJ, IEF, TIP, GLD, Cash",13.38175779976385,4.271224423657172,12.42843996444683,-23.590041883002645,0.3436653703824104
277,"IWN, GLD, TIP, VEU, VTI, Cash",73.8570665798846,20.203786008471305,14.942233716258501,-19.872427547715034,1.352126221027299
278,"VEA, EEM, GLD, IEF, EWH, Cash",50.977670449455694,14.69086939749722,15.132755176196532,-13.570698286515892,0.970799383618233
279,"EWH, GLD, VTI, HYG, IEF, Cash",28.367951512634114,8.66415134710179,11.58122420378917,-18.33323449708445,0.7481205090794316
280,"VWO, IVE, SCZ, VEU, DBC, Cash",11.215786579059127,3.6002387872536845,15.006348716291907,-30.604092040108522,0.23991437592977044
281,"SPY, SHY, IEF, VWO, VGK, Cash",21.996230264399298,6.838962681950811,17.98656880486435,-34.57225862210523,0.38022608737366614
282,"GLD, GSG, VNQ, SPY, BND, Cash",35.06288443464953,10.578714666214118,15.588639010794521,-20.90753931061242,0.6786169503885985
283,"SHY, TLT, SHY, IWM, DBC, Cash",39.18777164488183,11.629700195902505,15.195837397057499,-14.384461505236922,0.7653214424467626
284,"EWY, DBC, BND, SPY, HYG, Cash",48.5431732987023,14.323016280555922,12.998468097565757,-11.764807087865382,1.1019003295656213
285,"SCZ, IVE, TIP, LQD, EWH, Cash",-0.4424095444097387,-0.14741879864141882,14.388645366104758,-24.34517691055127,-0.010245495311788862
286,"IEF, EWJ, QQQ, VTI, IEF, Cash",-0.49635482771388517,-0.16542421476688496,19.630321546634242,-36.38091563036018,-0.008426974279249547
287,"QQQ, EWJ, EWJ, VTI, GLD, Cash",27.29277044527838,8.368410895564992,11.793583222509211,-17.497132305106888,0.7095732261924484
288,"IVE, IWM, SHY, SCZ, BND, Cash",41.416462465311696,12.22127402317026,14.340745222794668,-23.917693963749254,0.8522063416721537
289,"GLD, EEM, EEM, SPY, IWN, Cash",10.407306710801656,3.3521529807058803,12.185445728682126,-21.230763870206516,0.27509481846983863
290,"TLT, GSG, QQQ, IWN, SHY, Cash",25.6302903397704,7.887525695937314,16.322402026818086,-22.696037243619514,0.4832331468724962
291,"BND, SPY, DBC, SPY, TIP, Cash",19.78440122674383,6.190527177524152,11.457174005117231,-11.929162329356002,0.5403188582768504
292,"VWO, QQQ, GSG, GSG, HYG, Cash",35.27644059727246,10.576025669244515,18.268388092475536,-29.3494158533097,0.5789249503408905
293,"IWN, AGG, EWH, IWN, IEF, Cash",-15.569704200249191,-5.475561713046028,12.833195092337245,-31.080973551723723,-0.4266717425900826
294,"EWJ, VGK, BND, HYG, AGG, Cash",-13.606540626320962,-4.749874509178631,15.353994249119673,-30.009108791806327,-0.30935758032154836
295,"TLT, BND, VEA, SPY, EEM, Cash",37.25291080601381,11.11097200850979,16.2445634067029,-19.931985860224344,0.683980955987105
296,"VGK, SPY, LQD, HYG, TIP, Cash",37.18773972510894,11.093415208682721,9.7567363328196,-7.638226734147501,1.1370006147820984
297,"SHY, EWY, VNQ, SHY, EFA, Cash",20.959148536963767,6.535909867685197,15.136849667493713,-19.4477788264965,0.43178798833690085
298,"BND, GSG, SPY, AGG, DBC, Cash",17.69468742132736,5.575731748281831,11.333992798146925,-22.774091188839417,0.49194770524236153
299,"EFA, BND, AGG, SPY, AGG, Cash",17.768417881939058,5.592510311177601,14.296130085078465,-16.701024971239843,0.39119050245735826
300,"EWJ, SHY, BIL, SHY, EEM, Cash",-16.95318707326362,-5.993759299832313,21.450573126654707,-41.89940499394156,-0.2794218720610502
301,"TIP, HYG, VTI, SPY, VGK, Cash",29.451258020287984,8.97695350363561,11.089696272794319,-9.003429652531636,0.8094859663251759
302,"VTI, VWO, BND, TLT, TIP, Cash",27.9680014080949,8.55138650151035,15.325295850761306,-19.94439548134941,0.5579916097401505
303,"EWY, EWY, AGG, BND, DBC, Cash",19.518483260522856,6.112032289752922,17.595380632790814,-30.914435534342132,0.347365732933479
304,"QQQ, QQQ, BND, TIP, QQQ, Cash",19.419422138660615,6.082761181056728,12.505487022263573,-20.548419225925752,0.4864073802345772
305,"IEF, IWM, TIP, IEF, SPY, Cash",15.560294540567732,4.934213313524394,11.421034453979434,-23.068320516060957,0.43202858142198886
306,"TLT, SCZ, SCZ, IWM, EWY, Cash",72.12739156818746,19.804555509781817,20.512136770534006,-18.908640664712905,0.9655042637113926
307,"DBC, GSG, TLT, VTI, EWH, Cash",26.03539235469694,8.003153124306216,12.252822854702151,-13.44692001267057,0.6531681082155629
308,"EEM, IWN, EWY, VEU, IEF, Cash",36.56165368775466,10.92446617299132,19.11316073731005,-20.152561194662745,0.5715677445052874
309,"VTI, SHY, QQQ, IEF, EFA, Cash",49.136490482494025,14.22359276214371,10.854605663367359,-9.399562205082269,1.3103739742610983
310,"GSG, HYG, SPY, QQQ, SHY, Cash",36.00614232606758,10.774128399177618,14.80962277584248,-16.559332701220796,0.7275086315333044
311,"EWJ, LQD, VNQ, LQD, BND, Cash",9.225613893748141,2.9824395396357284,12.00996080526723,-17.143484925206398,0.24833049732582926
312,"EFA, DBC, SCZ, IWM, VWO, Cash",41.395603967512805,12.215766379135683,22.89795416837172,-36.70170003093101,0.5334872403583097
313,"EEM, HYG, SPY, VTI, EEM, Cash",9.618150293185623,3.1055460886486363,13.458631730666134,-24.840474685562786,0.23074753442970738
314,"SHY, VTI, VGK, EWH, EEM, Cash",23.21562573677516,7.193099736240249,14.128160407432963,-18.207341934257727,0.5091320829324595
315,"EEM, SPY, GLD, LQD, SCZ, Cash",39.0173040601663,11.584192560985374,11.36342833992068,-11.668957217613073,1.0194276070971582
