,Portfolio,cumulative_returns,cumulative_returns_non_market,cagr,cagr_non_market,vol,vol_non_market,mdd,mdd_non_market,sharpe_ratio,sharpe_ratio_non_market
863,"BND, VNQ, SHY, AGG, GLD, Cash",18.21888745,-7.735009105,5.732097864,-2.645443816,17.40342922,17.01093248,-22.45288087,-33.6917789,0.329366,-0.155514333
864,"TLT, GSG, BND, EWH, IWN, Cash",10.73288678,7.071647856,3.450350469,2.299488402,14.53260047,18.94671928,-21.83278154,-34.67448988,0.237421408,0.121366046
865,"BIL, TLT, EFA, VGK, LQD, Cash",-5.554133037,-10.77087864,-1.88504697,-3.724172918,10.33846728,9.697802097,-28.32945863,-26.24363218,-0.182333311,-0.384022367
866,"VEA, VTI, GSG, EWY, DBC, Cash",61.50187693,41.26235871,17.29135714,12.18057044,27.69666774,26.52939923,-35.0002911,-35.0002911,0.624311823,0.459134801
867,"AGG, GSG, SCZ, LQD, EWJ, Cash",29.4885048,10.79809245,8.978844917,3.470615237,10.50278918,15.97900083,-9.491892056,-16.52149731,0.854900995,0.217198514
868,"GLD, VWO, VNQ, EWH, IWN, Cash",35.64928325,-11.7396412,10.67733553,-4.069909235,19.43557543,25.71869876,-32.98095734,-38.36718093,0.549370692,-0.15824709
869,"VEA, HYG, IVE, IWM, VEA, Cash",13.90145493,17.16111616,4.426022566,5.411024062,13.35189968,13.14883381,-19.59851928,-19.26225738,0.3314901,0.411521215
870,"IVE, GSG, GSG, SCZ, SCZ, Cash",57.01859438,37.06407702,16.21372787,11.0707161,12.33760766,12.69815571,-8.836191642,-27.38742887,1.314171136,0.871836537
871,"EWJ, IVE, IEF, SCZ, BND, Cash",45.32509937,52.93686667,13.24391772,15.18394036,11.9695026,13.29405223,-9.526246867,-13.85585351,1.106471852,1.142160426
872,"HYG, TIP, HYG, VGK, EWJ, Cash",-11.46343339,6.756489908,-3.973675234,2.201230863,14.05962179,13.1397596,-32.01887206,-28.47656516,-0.282630308,0.16752444
873,"DBC, SPY, LQD, IWN, VWO, Cash",1.692022379,7.961385437,0.560342824,2.583937554,9.97368355,11.65311014,-13.27094494,-13.90016642,0.056182134,0.221738019
874,"IVE, VWO, HYG, QQQ, DBC, Cash",10.67396634,43.64538151,3.43203219,12.8067187,17.96889422,16.60025538,-34.96064085,-27.60529597,0.190998519,0.77147721
875,"EWY, IWM, BND, EFA, VEU, Cash",4.961777822,-12.30957244,1.625804437,-4.280281476,11.95408057,12.01659511,-15.80564733,-27.77443808,0.136004139,-0.356197528
876,"AGG, IEF, SPY, GSG, BND, Cash",56.04833574,47.43877522,15.95841399,13.7893028,11.62890388,12.91762989,-10.68528691,-13.33217026,1.37230595,1.067479323
877,"IVE, IWN, SCZ, HYG, DBC, Cash",55.40812177,61.64471082,15.79990645,17.3258618,20.9558978,19.93813524,-30.32895968,-23.41805042,0.753959892,0.868981055
878,"VTI, VWO, VEU, DBC, VWO, Cash",10.92738485,27.07894346,3.510773504,8.299873931,15.24540793,15.37399961,-20.97096444,-20.90720867,0.230283999,0.539864326
879,"VNQ, QQQ, IWN, QQQ, EFA, Cash",22.17987886,14.20858558,6.898949393,4.523843109,20.81963935,20.15822496,-32.84641172,-32.65040945,0.331367382,0.224416739
880,"EEM, SCZ, SHY, SCZ, VEU, Cash",14.89393621,34.8933194,4.727899355,10.47172861,23.39114092,20.94819309,-25.38060343,-21.73504343,0.202123504,0.499886963
881,"TLT, VEU, VWO, IWN, EEM, Cash",15.88709375,24.64991745,5.02824501,7.606666553,15.98594116,19.01639991,-29.52478845,-35.48238344,0.314541694,0.400005605
882,"VEA, GSG, EWJ, EWY, EWJ, Cash",59.51558719,24.07797966,16.80940055,7.44213536,15.18786352,16.44652758,-14.12089857,-23.06467005,1.106765315,0.452504963
883,"BND, EWY, LQD, VEU, GSG, Cash",21.86886198,19.37988116,6.801836344,6.071072876,12.53028758,16.34262697,-12.51189629,-17.81674143,0.542831623,0.371486964
884,"VGK, BND, GSG, VEU, VGK, Cash",9.064715818,54.18126891,2.929182299,15.494934,14.37158185,15.83378858,-15.7903674,-13.96532231,0.203817668,0.978599273
885,"TLT, EWY, VEA, IWN, TLT, Cash",12.30131106,24.43546761,3.935598777,7.545034219,14.61169648,13.69470549,-16.61086431,-10.70735622,0.269345779,0.550945343
886,"VNQ, SPY, SHY, VEA, IWM, Cash",15.20344409,18.66808207,4.821684341,5.860221987,24.82696124,22.25539306,-46.45957886,-41.00232477,0.194211619,0.26331694
887,"LQD, VEA, IEF, SPY, BND, Cash",59.6048446,45.5767914,16.83114378,13.30913747,8.504158651,14.55136913,-7.550581328,-14.35701193,1.979166249,0.914631287
888,"DBC, AGG, DBC, HYG, SPY, Cash",11.8309135,16.94281023,3.790541771,5.345632085,8.796510925,10.36652281,-8.350079796,-9.821782311,0.430914234,0.515662984
889,"EWJ, GLD, GLD, LQD, EWH, Cash",43.25447307,16.32695259,12.70448376,5.160716199,12.52919273,11.39622789,-11.71155302,-18.0249403,1.013990609,0.452844244
890,"EFA, QQQ, TIP, EWH, VEU, Cash",65.81450734,70.06126318,18.32432611,19.32414298,11.04785665,12.93763862,-8.334686792,-11.27561445,1.658631778,1.49363756
