Date,SPY,QQQ,IWM,VGK,EWJ,EWY,EWH,VEA,VWO,DBC,GLD,TLT,HYG,LQD,TIP,IEF,BND,SHY,BIL,IVE,IWN,EFA,VNQ,AGG,VEU,VTI,GSG,EEM,SCZ
2011-11-16,98.68218231201172,50.97895812988281,61.42613983154297,27.55719757080078,29.745769500732422,43.38966751098633,10.649079322814941,21.159692764282227,28.02103042602539,25.75687599182129,171.50999450683594,87.3600082397461,44.656707763671875,74.93921661376953,87.99800109863281,83.31783294677734,60.208133697509766,74.2527847290039,81.76630401611328,42.593502044677734,50.332332611083984,34.46831512451172,34.447757720947266,80.72701263427734,27.840126037597656,50.84403610229492,34.130001068115234,30.092872619628906,25.62168312072754
2011-11-17,97.11540222167969,49.78407287597656,60.551483154296875,27.229965209960938,29.778423309326172,42.502994537353516,10.465241432189941,20.950927734375,27.326576232910156,25.158523559570312,167.10000610351562,88.06079864501953,44.439517974853516,74.34827423095703,87.99036407470703,83.48514556884766,60.17936706542969,74.26161193847656,81.76630401611328,42.019142150878906,49.71442413330078,34.094337463378906,33.814964294433594,80.68286895751953,27.45551872253418,50.01249694824219,33.380001068115234,29.328893661499023,25.314111709594727
2011-11-18,97.01202392578125,49.40062713623047,60.53467559814453,27.358301162719727,29.909029006958008,42.86091613769531,10.533326148986816,21.011533737182617,27.389081954956055,25.121700286865234,167.6199951171875,88.03865051269531,44.40849685668945,74.46774291992188,88.0130615234375,83.1744384765625,60.14341354370117,74.23526763916016,81.76630401611328,42.03425216674805,49.88649368286133,34.21207046508789,34.02998733520508,80.66816711425781,27.469022750854492,49.940528869628906,33.150001525878906,29.443490982055664,25.664608001708984
2011-11-21,95.16691589355469,48.455421447753906,59.08818817138672,26.59477424621582,29.3212947845459,41.478050231933594,10.274590492248535,20.499713897705078,26.54184913635254,24.937591552734375,163.5,88.56243133544922,43.906951904296875,74.16231536865234,87.85433197021484,83.40547180175781,60.12902069091797,74.24400329589844,81.76630401611328,41.21805191040039,48.72108459472656,33.34638977050781,33.16987991333008,80.65342712402344,26.740278244018555,49.013057708740234,32.90999984741211,28.49616241455078,24.977922439575195
2011-11-22,94.79308319091797,48.61594772338867,58.591957092285156,26.408708572387695,29.549856185913086,42.09626770019531,10.363104820251465,20.439105987548828,26.59046745300293,25.103288650512695,165.30999755859375,89.55098724365234,43.57088088989258,73.96976470947266,88.1264419555664,83.66041564941406,60.19379806518555,74.2527847290039,81.74845886230469,40.93842315673828,48.18138122558594,33.24941635131836,33.01627731323242,80.71229553222656,26.686307907104492,48.78117752075195,33.130001068115234,28.59548568725586,24.670351028442383
2011-11-23,92.70143127441406,47.51912307739258,56.75020980834961,25.600282669067383,28.864173889160156,40.485633850097656,10.22011947631836,19.85993766784668,25.81962013244629,24.725866317749023,164.8300018310547,90.42886352539062,42.785003662109375,73.59131622314453,88.4967269897461,83.94722747802734,60.25850296020508,74.26161193847656,81.76630401611328,40.001319885253906,46.836055755615234,32.33525085449219,32.02099609375,80.78588104248047,25.937334060668945,47.69377517700195,32.630001068115234,27.671077728271484,23.97651481628418
2011-11-25,92.52645111083984,47.15354537963867,56.02695083618164,25.471965789794922,28.864173889160156,40.282264709472656,10.22011947631836,19.78586196899414,25.701574325561523,24.523345947265625,163.39999389648438,89.1157455444336,42.785003662109375,73.29911804199219,88.21709442138672,83.41340637207031,60.17218017578125,74.26161193847656,81.76630401611328,39.97864532470703,46.15556716918945,32.169044494628906,32.16230010986328,80.67548370361328,25.849613189697266,47.5418586730957,32.38999938964844,27.579397201538086,23.869224548339844
2011-11-28,95.2066879272461,48.79428482055664,58.69289779663086,26.838590621948242,29.680463790893555,42.291500091552734,10.499282836914062,20.61420249938965,26.833526611328125,24.827125549316406,166.6300048828125,89.07146453857422,43.74150085449219,73.33230590820312,88.50428771972656,83.42140197753906,60.17218017578125,74.27035522460938,81.76630401611328,41.066898345947266,48.11880111694336,33.54029846191406,32.88111114501953,80.66816711425781,26.922470092773438,48.97306823730469,32.86000061035156,28.901073455810547,24.706113815307617
2011-11-29,95.4770736694336,48.49109649658203,58.58357238769531,27.024656295776367,29.81107521057129,43.088680267333984,10.458430290222168,20.748891830444336,26.687686920166016,25.149316787719727,166.8800048828125,88.3411636352539,44.025882720947266,73.16634368896484,88.48162841796875,83.2621078491211,60.0859260559082,74.27915954589844,81.73063659667969,41.29362106323242,48.009307861328125,33.76191329956055,32.831974029541016,80.69754791259766,26.989944458007812,49.12498474121094,33.41999816894531,28.77120018005371,24.8920841217041
2011-11-30,99.40592193603516,50.28343200683594,62.00640106201172,28.48752784729004,30.790634155273438,45.602264404296875,10.887391090393066,21.80620002746582,28.347414016723633,25.443891525268555,170.1300048828125,86.9616470336914,44.77560806274414,73.49833679199219,88.22467041015625,82.77604675292969,59.9564323425293,74.27915954589844,81.74845886230469,43.1829719543457,50.95807647705078,35.486358642578125,34.361759185791016,80.49153900146484,28.379926681518555,51.203834533691406,33.790000915527344,30.566530227661133,26.165306091308594
